num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
37.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-21 08:40:00,"La Paz, Bc",2025-03-21 16:22:00,cabotaje entrada,general suelta,mercancías diversas,2221.96,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,marzo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-21 08:40:00,"La Paz, Bc",2025-03-21 16:22:00,cabotaje salida,general suelta,mercancías diversas,3418.76,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
38.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-23 09:05:00,"La Paz, Bc",2025-03-23 16:29:00,cabotaje entrada,general suelta,mercancías diversas,2505.85,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,marzo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-23 09:05:00,"La Paz, Bc",2025-03-23 16:29:00,cabotaje salida,general suelta,mercancías diversas,4295.31,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
39.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-26 08:57:00,"La Paz, Bc",2025-03-26 16:26:00,cabotaje entrada,general suelta,mercancías diversas,2664.38,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,marzo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-26 08:57:00,"La Paz, Bc",2025-03-26 16:26:00,cabotaje salida,general suelta,mercancías diversas,4459.86,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
40.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-28 09:00:00,"La Paz, Bc",2025-03-28 16:35:00,cabotaje entrada,general suelta,mercancías diversas,2110.6,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,marzo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-28 09:00:00,"La Paz, Bc",2025-03-28 16:35:00,cabotaje salida,general suelta,mercancías diversas,4361.375,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
41.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-30 08:47:00,"La Paz, Bc",2025-03-30 16:30:00,cabotaje entrada,general suelta,mercancías diversas,2877.44,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",7.0,6.0,3.9,marzo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-30 08:47:00,"La Paz, Bc",2025-03-30 16:30:00,cabotaje salida,general suelta,mercancías diversas,4148.124,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
